Station,Station.Id,State.Code,State.Name,Network.Co,Network.Na,Elevation,Latitude,Longitude,County.Nam,County.Cod,Start.Date,End.Date,Aspect_tif,Slope_tif1,join_lat,join_lon,distance,Station Name,Southness,Lancover_code,Landcover_detail,Koppen_code_ID,Koppen_code_name,KoppenClass,elevation prompt,southness prompt,koppen prompt,landcover prompt
Divide,448,MT,MONTANA,SNTL,SNOTEL,7800,44.79317,-112.05645,Madison,57,1/1/1971,1/1/2100,33.25953,9.64435,44.7695724,-112.081802,0.034634826,Divide,0.058686343,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Divide Peak,449,WY,WYOMING,SNTL,SNOTEL,8730,41.30399,-107.15255,Carbon,7,10/1/1979,1/1/2100,354.36096,13.64056,41.30369029,-107.1704586,0.017911097,Divide Peak,-0.705725516,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Dollarhide Summit,450,ID,IDAHO,SNTL,SNOTEL,8420,43.6025,-114.67417,Blaine,13,10/1/1979,1/1/2100,53.01563,43.79476,43.57639987,-114.692896,0.032122876,Dollarhide Summit,0.172337243,52,Shrub_Scrub,18,Dsb,Cold-dry_summer-warm_summer,This location has high elevation,This location has high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Dome Lake,451,WY,WYOMING,SNTL,SNOTEL,8880,44.57462,-107.29537,Sheridan,33,10/1/1978,1/1/2100,30.93358,7.34804,44.59911918,-107.2947964,0.024505899,Dome Lake,0.774920919,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has very high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Donkey Reservoir,452,UT,UTAH,SNTL,SNOTEL,9799,38.2084,-111.47412,Wayne,55,10/1/1985,1/1/2100,160.03931,10.5724,38.23553236,-111.460113,0.030534595,Donkey Reservoir,0.896744535,43,Mixed Forest,5,BWk,Arid-desert-cold,This location has very high elevation,This location has very high southness,This location has a climate with very low precipitation and cooler temperatures.,"This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
Dorsey Basin,453,NV,NEVADA,SNTL,SNOTEL,7903,40.89343,-115.21104,Elko,7,10/1/1978,1/1/2100,191.53075,4.62364,40.90596611,-115.1902472,0.024279495,Dorsey Basin,0.99043131,52,Shrub_Scrub,7,BSk,Arid-steppe-cold,This location has high elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Draw Creek,454,NV,NEVADA,SNTL,SNOTEL,7332,41.661,-115.3234,Elko,7,10/1/1983,1/1/2100,23.32063,10.54348,41.64459673,-115.314585,0.01862179,Draw Creek,0.214970351,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Dry Bread Pond,455,UT,UTAH,SNTL,SNOTEL,8302,41.41289,-111.5377,Cache,5,10/1/1978,1/1/2100,188.72716,15.73786,41.41732577,-111.5222819,0.016043521,Dry Bread Pond,-0.029094161,41,Deciduous Forest,17,Dsa,Cold-dry_summer-hot_summer,This location has high elevation,This location has moderate southness,"This location has a continental climate with hot summers and cold winters, featuring significant seasonal temperature variation and relatively low precipitation.","This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Dry Lake,457,CO,COLORADO,SNTL,SNOTEL,8271,40.5337,-106.7814,Routt,107,10/1/1979,1/1/2100,184.14761,17.18655,40.50824194,-106.7974452,0.030092528,Dry Lake,0.354911708,41,Deciduous Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Dupuyer Creek,458,MT,MONTANA,SNTL,SNOTEL,5750,48.06341,-112.7573,Teton,99,10/1/1982,1/1/2100,346.84253,14.51475,48.0650013,-112.76566,0.008510061,Dupuyer Creek,0.277772689,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has low elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
East Rim Divide,460,WY,WYOMING,SNTL,SNOTEL,7930,43.13097,-110.2023,Sublette,35,10/1/1984,1/1/2100,358.83389,12.49404,43.12185796,-110.2167349,0.017070307,East Rim Divide,-0.055628851,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
East Willow Creek,461,UT,UTAH,SNTL,SNOTEL,8302,39.31213,-109.53179,Grand,19,8/6/1986,1/1/2100,25.31287,15.59639,39.31506941,-109.5328769,0.003133937,East Willow Creek,0.109540482,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Ebbetts Pass,462,CA,CALIFORNIA,SNTL,SNOTEL,8661,38.5497,-119.80468,Alpine,3,10/1/1978,1/1/2100,280.01108,10.57064,38.57643879,-119.7907461,0.03015155,Ebbetts Pass,0.83579918,52,Shrub_Scrub,8,Csa,Temperate-dry_summer-hot_summer,This location has high elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Echo Peak,463,CA,CALIFORNIA,SNTL,SNOTEL,7653,38.849,-120.0795,El Dorado,17,10/1/1980,1/1/2100,143.99179,19.59531,38.86052749,-120.1015906,0.024917455,Echo Peak,0.588340879,52,Shrub_Scrub,8,Csa,Temperate-dry_summer-hot_summer,This location has moderate elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Eilertson Meadows,464,OR,OREGON,SNTL,SNOTEL,5510,44.86887,-118.11387,Baker,1,10/1/1979,1/1/2100,298.84637,5.48872,44.88320788,-118.1121857,0.014436471,Eilertson Meadows,0.65852931,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has very high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
El Diente Peak,465,CO,COLORADO,SNTL,SNOTEL,10217,37.78607,-108.02235,Dolores,33,10/1/1985,1/1/2100,39.9962,5.6906,37.78099044,-108.0408232,0.019158883,El Diente Peak,0.370905781,71,Grassland_Herbaceous,18,Dsb,Cold-dry_summer-warm_summer,This location has very high elevation,This location has high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has areas dominated by grasses and other herbaceous plants, often found in regions with moderate to low rainfall and no trees."
Elk Butte,466,ID,IDAHO,SNTL,SNOTEL,5690,46.83998,-116.12233,Clearwater,35,10/1/1982,1/1/2100,210.42613,17.0355,46.81501103,-116.1227808,0.024973041,Elk Butte,0.968777733,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Elk River,467,CO,COLORADO,SNTL,SNOTEL,8739,40.84758,-106.96861,Routt,107,10/1/1978,1/1/2100,280.95752,18.20327,40.84914837,-106.9839519,0.015421835,Elk River,0.128496502,41,Deciduous Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Emery Creek,469,MT,MONTANA,SNTL,SNOTEL,4350,48.43412,-113.93725,Flathead,29,10/1/1975,1/1/2100,219.44762,4.17145,48.40590773,-113.9468691,0.029807041,Emery Creek,-0.766642186,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has low elevation,This location has low southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Emigrant Springs,470,OR,OREGON,SNTL,SNOTEL,3800,45.55808,-118.45383,Umatilla,59,10/1/1979,1/1/2100,161.4482,11.32557,45.56502076,-118.4230302,0.031572136,Emigrant Springs,0.318899551,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Emigrant Summit,471,ID,IDAHO,SNTL,SNOTEL,7390,42.36055,-111.56085,Bear Lake,7,10/1/1979,1/1/2100,320.16675,6.84984,42.38322734,-111.5844508,0.032730089,Emigrant Summit,0.516539726,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Evening Star,472,WY,WYOMING,SNTL,SNOTEL,9200,44.65258,-109.78422,Park,29,10/1/1979,1/1/2100,0.93492,12.56865,44.65593692,-109.7815526,0.004287676,Evening Star,0.001353687,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Fallen Leaf,473,CA,CALIFORNIA,SNTL,SNOTEL,6242,38.93403,-120.0545,El Dorado,17,10/1/1979,1/1/2100,24.25804,1.53229,38.91734523,-120.0394217,0.022488563,Fallen Leaf,0.640750823,95,Emergent Herbaceous Wetlands,8,Csa,Temperate-dry_summer-hot_summer,This location has moderate elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has wetlands characterized by the presence of herbaceous plants that emerge above the water surface, typically found in shallow water bodies."
Farmington,474,UT,UTAH,SNTL,SNOTEL,7902,40.97462,-111.80975,Davis,11,10/1/1978,1/1/2100,2.52157,15.15839,40.96278385,-111.8331264,0.026202105,Farmington,-0.425100873,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Farnsworth Lake,475,UT,UTAH,SNTL,SNOTEL,9623,38.77246,-111.67662,Sevier,41,7/24/1980,1/1/2100,355.76614,8.86968,38.74689201,-111.6466197,0.039417521,Farnsworth Lake,-0.379760313,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Fawn Creek,476,NV,NEVADA,SNTL,SNOTEL,7031,41.82098,-116.10153,Elko,7,10/1/1980,1/1/2100,333.43225,21.57703,41.81504995,-116.1227808,0.022062666,Fawn Creek,0.366846891,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Fish Creek,477,OR,OREGON,SNTL,SNOTEL,7660,42.70992,-118.6321,Harney,25,10/1/1978,1/1/2100,53.49542,9.77336,42.72413378,-118.6095369,0.026666889,Fish Creek,0.340233408,52,Shrub_Scrub,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Fish Lake,478,WA,WASHINGTON,SNTL,SNOTEL,3430,47.53565,-121.08553,Kittitas,37,10/1/1979,1/1/2100,197.84328,15.6395,47.55364164,-121.0962931,0.020965297,Fish Lake,-0.068206795,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has moderate southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Fish Lk,479,OR,OREGON,SNTL,SNOTEL,4660,42.3801,-122.34943,Jackson,29,10/1/1979,1/1/2100,178.5493,3.01226,42.38322734,-122.3396712,0.010247664,Fish Lk,-0.111829674,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has moderate southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Fisher Creek,480,MT,MONTANA,SNTL,SNOTEL,9100,45.06235,-109.94488,Park,67,10/1/1966,1/1/2100,52.74408,9.31986,45.0536611,-109.9680593,0.024754307,Fisher Creek,-0.082539712,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Five Points Lake,481,UT,UTAH,SNTL,SNOTEL,10943,40.71785,-110.46721,Duchesne,13,8/14/1980,1/1/2100,115.85046,3.37521,40.7355129,-110.4654105,0.017754325,Five Points Lake,0.21424927,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Flattop Mtn,482,MT,MONTANA,SNTL,SNOTEL,6300,48.80225,-113.85713,Flathead,29,10/1/1969,1/1/2100,351.05685,12.51603,48.80363191,-113.8847002,0.027604844,Flattop Mtn,-0.035002664,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Fourmile Lake,483,OR,OREGON,SNTL,SNOTEL,5970,42.43933,-122.2288,Klamath,35,10/1/1978,1/1/2100,72.43899,5.99407,42.44004508,-122.2153334,0.013485589,Fourmile Lake,0.280376941,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Franklin Basin,484,ID,IDAHO,SNTL,SNOTEL,8140,42.0505,-111.6012,Franklin,41,10/1/1978,1/1/2100,281.14526,7.53774,42.04232091,-111.5844508,0.01863958,Franklin Basin,-0.025926367,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Fremont Pass,485,CO,COLORADO,SNTL,SNOTEL,11326,39.38014,-106.19784,Summit,117,10/1/1979,1/1/2100,17.56779,13.7239,39.37188715,-106.1757561,0.023575564,Fremont Pass,0.261027952,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Frisco Divide,486,NM,NEW MEXICO,SNTL,SNOTEL,8013,33.73687,-108.94327,Catron,3,10/1/1971,1/1/2100,331.09415,16.92907,33.74693093,-108.9733568,0.031724413,Frisco Divide,0.316733834,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Frohner Meadow,487,MT,MONTANA,SNTL,SNOTEL,6480,46.43545,-112.19277,Jefferson,43,10/1/1967,1/1/2100,119.53141,2.05281,46.41728685,-112.2061398,0.022553318,Frohner Meadow,0.875995636,42,Evergreen Forest,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has very high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Fry,488,AZ,ARIZONA,SNTL,SNOTEL,7236,35.07356,-111.84477,Coconino,5,10/1/1978,1/1/2100,2.46139,5.45742,35.05373894,-111.8331264,0.022987994,Fry,0.571474267,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has moderate elevation,This location has very high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Galena,489,ID,IDAHO,SNTL,SNOTEL,7470,43.87722,-114.6725,Blaine,13,10/1/1979,1/1/2100,35.44619,11.14059,43.86048857,-114.692896,0.026380618,Galena,0.623826972,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has moderate elevation,This location has very high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Galena Summit,490,ID,IDAHO,SNTL,SNOTEL,8780,43.87497,-114.71363,Blaine,13,10/1/1978,1/1/2100,66.69633,9.12791,43.86048857,-114.692896,0.025290534,Galena Summit,-0.219365927,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has high elevation,This location has moderate southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Gallegos Peak,491,NM,NEW MEXICO,SNTL,SNOTEL,9480,36.19418,-105.55742,Taos,55,10/1/1979,1/1/2100,3.34569,6.79738,36.19009373,-105.5540671,0.005285797,Gallegos Peak,-0.481625499,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has very high elevation,This location has low southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Garver Creek,918,MT,MONTANA,SNTL,SNOTEL,4250,48.97523,-115.81915,Lincoln,53,10/1/1968,1/1/2100,97.75777,1.67581,48.97408513,-115.8119363,0.007304024,Garver Creek,-0.927766295,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has low southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Giveout,493,ID,IDAHO,SNTL,SNOTEL,6930,42.4132,-111.1663,Bear Lake,7,10/1/1979,1/1/2100,77.30629,12.7754,42.44004508,-111.1492685,0.031792012,Giveout,-0.068667743,52,Shrub_Scrub,7,BSk,Arid-steppe-cold,This location has moderate elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Gold Center,494,OR,OREGON,SNTL,SNOTEL,5410,44.7638,-118.3117,Grant,23,10/1/1979,1/1/2100,214.2847,15.77933,44.7695724,-118.2986924,0.01423087,Gold Center,-0.05648836,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has moderate southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Gooseberry RS,495,UT,UTAH,SNTL,SNOTEL,7944,38.80034,-111.68333,Sevier,41,6/27/1979,1/1/2100,4.77186,6.13332,38.80370975,-111.7087886,0.025680634,Gooseberry RS,-0.008874085,22,Developed_Low Intensity,7,BSk,Arid-steppe-cold,This location has high elevation,This location has moderate southness,This location has a climate with low precipitation and cooler temperatures.,"This location has urban and suburban areas with low-density development, such as residential areas with single-family homes and associated green spaces."
Graham Guard Sta,496,ID,IDAHO,SNTL,SNOTEL,5690,43.9538,-115.27387,Elmore,39,10/1/1978,1/1/2100,257.29135,2.59077,43.97412405,-115.2524161,0.029552256,Graham Guard Sta,0.496942528,52,Shrub_Scrub,17,Dsa,Cold-dry_summer-hot_summer,This location has low elevation,This location has very high southness,"This location has a continental climate with hot summers and cold winters, featuring significant seasonal temperature variation and relatively low precipitation.","This location has areas dominated by shrubs and small trees, often found in regions with dry or semi-arid climates, or as a transitional stage in forest succession."
Granite Creek,497,WY,WYOMING,SNTL,SNOTEL,6770,43.34298,-110.43495,Teton,39,10/1/1987,1/1/2100,285.09396,4.333,43.34912891,-110.4654105,0.031074936,Granite Creek,0.653154322,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has very high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Granite Peak,498,NV,NEVADA,SNTL,SNOTEL,8503,41.67032,-117.56668,Humboldt,13,10/1/1980,1/1/2100,80.79314,12.99188,41.64459673,-117.5526656,0.029293187,Granite Peak,0.26036657,43,Mixed Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
Grassy Lake,499,WY,WYOMING,SNTL,SNOTEL,7265,44.12612,-110.83435,Teton,39,9/1/1962,1/1/2100,167.05688,7.03134,44.14457727,-110.8384239,0.018901526,Grassy Lake,-0.579081882,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has moderate elevation,This location has low southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Grave Creek,500,MT,MONTANA,SNTL,SNOTEL,4300,48.91453,-114.76663,Flathead,29,10/1/1968,1/1/2100,121.33372,12.7075,48.91726739,-114.7550649,0.011884657,Grave Creek,-0.052487903,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has moderate southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Green Lake,502,WA,WASHINGTON,SNTL,SNOTEL,5920,46.54741,-121.17093,Yakima,77,10/1/1981,1/1/2100,79.20468,5.10466,46.53092233,-121.158462,0.02067109,Green Lake,0.727222884,42,Evergreen Forest,18,Dsb,Cold-dry_summer-warm_summer,This location has low elevation,This location has very high southness,"This location has a continental climate with warm summers and cold winters, characterized by significant seasonal temperature variation and relatively low precipitation.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Green Mountain,503,NV,NEVADA,SNTL,SNOTEL,8185,40.3848,-115.52757,Elko,7,10/1/1980,1/1/2100,234.81409,18.52357,40.39460646,-115.5010917,0.028235879,Green Mountain,0.221881089,41,Deciduous Forest,7,BSk,Arid-steppe-cold,This location has high elevation,This location has high southness,This location has a climate with low precipitation and cooler temperatures.,"This location has forests where trees lose their leaves seasonally, typically found in regions with distinct seasons including a warm growing season and a cold winter."
Greenpoint,504,OR,OREGON,SNTL,SNOTEL,3310,45.62237,-121.70415,Hood River,27,10/1/1978,1/1/2100,22.33606,8.76636,45.6218385,-121.7179822,0.013842358,Greenpoint,-0.575830669,42,Evergreen Forest,8,Csa,Temperate-dry_summer-hot_summer,This location has low elevation,This location has low southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Grizzly Peak,505,CO,COLORADO,SNTL,SNOTEL,11139,39.64646,-105.8694,Summit,117,10/1/1979,1/1/2100,130.85869,15.63579,39.65597584,-105.8649116,0.010521264,Grizzly Peak,0.033465046,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has very high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Gros Ventre Summit,506,WY,WYOMING,SNTL,SNOTEL,8750,43.38939,-110.12943,Teton,39,4/1/1976,1/1/2100,359.42984,0.8156,43.40594665,-110.154566,0.030098847,Gros Ventre Summit,0.202986761,42,Evergreen Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has high elevation,This location has high southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests dominated by trees that retain their leaves throughout the year, typically found in regions with a moderate to high amount of rainfall."
Grouse Camp,507,WA,WASHINGTON,SNTL,SNOTEL,5390,47.28107,-120.48771,Kittitas,37,10/1/1979,1/1/2100,170.06296,6.43269,47.26955294,-120.4746041,0.017447293,Grouse Camp,0.136187313,71,Grassland_Herbaceous,5,BWk,Arid-desert-cold,This location has low elevation,This location has high southness,This location has a climate with very low precipitation and cooler temperatures.,"This location has areas dominated by grasses and other herbaceous plants, often found in regions with moderate to low rainfall and no trees."
Hagans Meadow,508,CA,CALIFORNIA,SNTL,SNOTEL,7742,38.8519,-119.9374,El Dorado,17,10/1/1978,1/1/2100,193.6149,6.57443,38.86052749,-119.9150839,0.023925729,Hagans Meadow,0.113655303,95,Emergent Herbaceous Wetlands,8,Csa,Temperate-dry_summer-hot_summer,This location has moderate elevation,This location has high southness,"This location has a climate with hot, dry summers and mild, wet winters.","This location has wetlands characterized by the presence of herbaceous plants that emerge above the water surface, typically found in shallow water bodies."
Hams Fork,509,WY,WYOMING,SNTL,SNOTEL,7840,42.146,-110.67833,Lincoln,23,10/1/1984,1/1/2100,243.83203,12.53751,42.15595638,-110.6519172,0.028227019,Hams Fork,-0.010127602,43,Mixed Forest,26,Dfb,Cold-no_dry_season-warm_summer,This location has moderate elevation,This location has moderate southness,"This location has a climate with warm summers and cold winters, with significant precipitation throughout the year.","This location has forests characterized by a combination of both evergreen and deciduous trees, often found in temperate regions with moderate climates."
